gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_bn128,param_mem_size,param_mod_bits,new_gas_decimal,new_gas_rounded
OPCODE_DIV,besu,1.5173833761808706e-05,1.487345795916421e-05,1.5470603569278107e-05,test_arithmetic,DIV,target_coef,0.0,,,,1.5173833761808706,2
OPCODE_SDIV,besu,1.6564735278504592e-05,1.628076757396882e-05,1.68326915467867e-05,test_arithmetic,SDIV,target_coef,0.0,,,,1.6564735278504592,2
OPCODE_MOD,besu,1.954749633576838e-05,1.927889027975645e-05,1.9835585436176126e-05,test_mod,MOD,target_coef,0.0,,,127,1.954749633576838,2
OPCODE_SMOD,besu,2.0152780260705523e-05,1.9868174914346818e-05,2.0452121758417893e-05,test_mod,SMOD,target_coef,0.0,,,127,2.0152780260705523,3
OPCODE_ADDMOD,besu,2.3384147415603977e-05,2.3072359990163515e-05,2.3705618686487727e-05,test_mod_arithmetic,ADDMOD,target_coef,0.0,,,191,2.3384147415603973,3
OPCODE_MULMOD,besu,3.576427491379667e-05,3.527918421401602e-05,3.625053303314138e-05,test_mod_arithmetic,MULMOD,target_coef,0.0,,,191,3.5764274913796665,4
OPCODE_KECCAK256_BASE,besu,0.00011033040225353407,0.00010936444294075515,0.00011122653915366687,test_keccak_diff_mem_msg_sizes,KECCAK256,target_coef,0.0,,256,,11.033040225353407,12
OPCODE_KECCAK256_PER_WORD,nethermind,2.231552301327544e-05,2.191238997149974e-05,2.2687520836052765e-05,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_words,0.0,,1024,,2.2315523013275436,3
PRECOMPILE_ECRECOVER,erigon,0.008405064214736524,0.007826436979331058,0.008916140719114542,test_ecrecover,ECRECOVER,target_coef,0.0,,,,840.5064214736524,841
PRECOMPILE_BLAKE2F_BASE,erigon,0.0009363396978708489,0.0009226759773213122,0.0009479980096478595,test_blake2f_uncachable,BLAKE2F,target_coef,0.0,,,,93.6339697870849,94
PRECOMPILE_BLAKE2F_PER_ROUND,besu,2.2268358817148933e-06,2.1302768849959182e-06,2.3208198061663343e-06,test_blake2f_uncachable,BLAKE2F,num_rounds,0.0,,,,0.22268358817148934,1
PRECOMPILE_BLS_G1ADD,ethrex,0.002350779522008056,0.001863998804732072,0.0027803984669707207,test_bls12_381,BLS12_G1ADD,target_coef,0.0,,,,235.07795220080558,236
PRECOMPILE_BLS_G2ADD,ethrex,0.0027698898254169416,0.002286592887031237,0.0032686535162056566,test_bls12_381,BLS12_G2ADD,target_coef,0.0,,,,276.98898254169416,277
PRECOMPILE_ECADD,erigon,0.0010737409718944411,0.0010359178946505617,0.0011069174159535516,test_alt_bn128_uncachable,ECADD,target_coef,0.0,,,,107.37409718944411,108
PRECOMPILE_ECPAIRING_BASE,reth,0.08246597414857655,0.07784531242989796,0.08734586845660341,test_ec_pairing,ECPAIRING,target_coef,0.0,,,,8246.597414857655,8247
PRECOMPILE_ECPAIRING_PER_POINT,nethermind,0.11711791778016745,0.11636984606025533,0.11788343276737233,test_ec_pairing,ECPAIRING,num_pairs,0.0,,,,11711.791778016745,11712
PRECOMPILE_POINT_EVALUATION,ethrex,0.23824705891784034,0.23247585200889367,0.24401532911505217,test_point_evaluation_uncachable,POINT_EVALUATION,target_coef,0.0,,,,23824.705891784033,23825
PRECOMPILE_P256VERIFY,ethrex,0.03813993299302636,0.03715493368669128,0.03907817185250475,test_p256verify_uncachable,P256VERIFY,target_coef,0.0,,,,3813.993299302636,3814
